Date(D.M.Y),UTC(h:min),Mw,Depth(km),Latitude(deg.N),Longitude,(deg.E),Az.(deg.),Dip(deg.),Rake(deg.),Ref
30.10.2020,12:51,6.6,16.5,37.8881,26.7770,95,43,-87,1,
30.10.2020,12:53,4.7,7.1,37.8406,26.7995,93,60,-91,1,The magnitude entry is a Local Mgnitude (ML); Ref.1: AFAD (2020) http://deprem.afad.gov.tr; Ref.2: NOA (2020) http://bbnet.gein.noa.gr
30.10.2020,12:58,4.2,7.0,37.8751,26.8986,96,53,-86,1,The magnitude entry is a Local Mgnitude (ML); Ref.1: AFAD (2020) http://deprem.afad.gov.tr; Ref.2: NOA (2020) http://bbnet.gein.noa.gr
30.10.2020,13:01,4.0,6.8,37.8118,26.9185,97,34,-85,1,The magnitude entry is a Local Mgnitude (ML); Ref.1: AFAD (2020) http://deprem.afad.gov.tr; Ref.2: NOA (2020) http://bbnet.gein.noa.gr
30.10.2020,13:29,4.2,7.3,37.9880,27.0716,82,53,-107,1,
30.10.2020,14:00,4.8,3.4,37.8520,26.8216,111,58,-72,1,
30.10.2020,14:06,4.2,7.1,37.8393,26.9850,90,45,-106,1,
30.10.2020,15:46,4.0,11.0,37.8088,26.7125,91,51,-89,2,
30.10.2020,16:14,5.1,7.7,37.8331,26.8690,103,45,-85,1,
30.10.2020,16:19,4.4,7.0,37.8388,26.8780,97,41,-85,1,
30.10.2020,21:35,4.0,13.0,37.8339,26.4862,303,60,-80,2,
31.10.2020,00:05,4.0,8.0,37.8490,26.8119,119,47,-116,2,
31.10.2020,02:40,4.2,16.0,37.8936,26.4855,95,57,-97,2,
31.10.2020,03:10,4.1,8.0,37.8211,26.8831,91,42,-77,2,
31.10.2020,06:31,5.0,7.3,37.8701,26.8303,271,52,-98,1,
31.10.2020,09:47,4.0,13.0,37.9264,26.4860,95,60,-93,2,
31.10.2020,05:42,4.4,12.0,37.8785,26.4579,95,42,-91,2,
01.11.2020,08:05,4.2,12.0,37.9203,26.9379,89,39,-111,2,
01.11.2020,08:33,4.4,11.0,37.8146,26.8477,297,74,-61,2,
02.11.2020,12:58,4.0,11.0,37.8934,26.8408,109,33,-105,2,
02.11.2020,21:16,4.3,13.0,37.8585,26.4478,95,65,-97,2,
03.11.2020,21:35,4.0,13.0,37.8602,26.4594,260,33,-109,2,
09.11.2020,21:30,4.1,10.0,37.8729,27.0078,271,54,-97,2,
11.11.2020,07:49,4.3,12.0,37.8418,26.9433,92,51,-98,2,